date,year,month,Reservas Internacionales Netas RIN = RIB - OECP,Reservas Internacionales Brutas RIB,Obligaciones con el exterior a corto plazo OECP,Crédito Neto al Sector Público CNSP,Total,col_8,col_9,BASE MONETARIA BM,Billetes y Mo- nedas en Poder del Público C,MN,UFV,ME,TOTAL
2019-05-01,2019,5,56617922.094071805,56617926.4757596,4.381687800000001,15635836.007237077,3735172.951930999,8520462.0078738,-4785289.055942801,71398804.25221309,38554402.817509994,20702510.327290006,85024.16841228241,12056866.939000798,32844401.43470309
2019-06-01,2019,6,57053848.05990939,57054375.81102839,527.7511189999999,17164347.025118038,4591476.827237001,8976179.501545,-4384702.674308,72767376.67220533,39028775.246120006,21409556.035509996,86592.63061831259,12242452.759956999,33738601.42608531
2019-07-01,2019,7,55199661.20270561,55201170.389808804,1509.1871032,17266163.16649116,4749703.5446642,9322453.668425601,-4572750.123761401,71226627.39478295,39108259.13937,19741881.132079992,86725.198908334,12289761.924424598,32118368.25541292
2019-08-01,2019,8,55063254.578924194,55067216.56506419,3961.98614,18138417.30710776,5249588.839662199,9628964.1341444,-4379375.2944822,71748054.77951024,39307528.82599,19730696.251820005,86856.64055566402,12622973.061144598,32440525.95352027
2019-09-01,2019,9,52480551.18971701,52480629.165141806,77.97542480000001,20192131.524391368,5342801.394497998,9729361.308568198,-4386559.9140702,71548679.50983013,39325439.80211,19277467.02873999,87011.3661519496,12858761.312828202,32223239.70772014
2019-10-01,2019,10,46852517.7557598,46852662.371557,144.6157972,22392903.380207546,7580067.236055599,9884128.941780599,-2304061.7057250002,70251326.14586245,39951445.36496,17541760.390439995,87174.3537946388,12670946.036667801,30299880.780902434
2019-11-01,2019,11,44312468.6245122,44312473.8992348,5.2747226000000005,22624096.693566743,10660781.488344198,12875886.116542598,-2215104.6281984006,71643217.74611327,40367710.48541,17637990.740709998,88968.664496075,13548547.855497202,31275507.260703273
2019-12-01,2019,12,44367277.0750552,44367282.4968562,5.421801,27321855.590497546,10384363.196527401,12577684.4675072,-2193321.2709798,75166944.30650868,41649730.16295999,18988234.40475,89204.69522228252,14439775.043576403,33517214.143548682
2020-01-01,2020,1,43722534.2743952,43722534.9027026,0.6283074000000001,25248256.323882483,9739275.3599152,12118316.616511,-2379041.2565958006,71203232.95314655,39048704.60075,17147297.92760999,89474.12397553501,14917756.300811,32154528.352396525
2020-02-01,2020,2,43284482.379397005,43284491.6685916,9.289194599999998,26622874.123236682,9507104.894118201,11867654.6828342,-2360549.788716,71073426.48175791,38090142.60288999,17794503.619129997,89567.587137925,15099212.672600003,32983283.878867924
2020-03-01,2020,3,41781349.503203794,41781350.683947,1.1807432000000002,32394505.741277542,9236358.090018399,11636635.588038,-2400277.4980196003,75382682.38590269,38253600.73654999,21932358.354330014,89828.60385186262,15106894.691170802,37129081.64935268
2020-04-01,2020,4,44811924.962679,44811942.6247094,17.6620304,34761213.58171373,8350103.869980799,10849693.4328114,-2499589.5628306004,79005629.87300213,40708704.17770999,22785113.361140005,89928.3669239312,15421883.967228202,38296925.69529214
2020-05-01,2020,5,43833553.1846198,43833554.7206424,1.5360226,37598564.954820015,8485362.221801199,10991935.5258646,-2506573.3040634,80896520.58026984,43379652.135110006,20927544.97161,90043.105736244,16499280.3678136,37516868.445159845
2020-06-01,2020,6,43028437.6877082,43028447.347823,9.6601148,38565855.90901103,9547861.046386002,12062245.4875198,-2514384.4411337995,81478380.39642431,44425189.16246,20613757.93374,90155.13575468701,16349278.164469602,37053191.23396429
2020-07-01,2020,7,45332485.0276144,45332488.5440504,3.516436,38289491.40196868,11181856.169390399,12992675.065236999,-1810818.8958465995,83222023.1454235,44389852.24476,21119341.158639997,90258.36228570598,17622571.3797378,38832170.90066351
2020-08-01,2020,8,45579089.04623061,45579100.671118006,11.6248874,39697015.70520064,12717661.491866801,14530071.9744462,-1812410.4825793996,85924209.82034573,44648181.69968001,22425174.753039997,91971.6062857065,18758881.76134,41276028.1206657
2020-09-01,2020,9,43600725.7186774,43600727.6555984,1.9369210000000003,40776014.807061985,13812529.157744799,15456407.105267,-1643877.9475222,86702396.63854128,43926487.0686,23130781.593539998,92784.3231560895,19552343.653245203,42775909.56994129
2020-10-01,2020,10,38265477.900785804,38265479.837706804,1.9369210000000003,42371454.59167014,15355141.4632948,17351671.0376678,-1996529.5743729996,84829686.63999292,43608036.69072,21810694.96159,92843.35752852449,19318111.6301544,41221649.94927293
2020-11-01,2020,11,36389003.536897205,36389005.473818205,1.9369210000000003,42609137.214896664,15863048.608206797,17859876.7990926,-1996828.1908858,84052352.99632403,42882257.33601999,21590159.438580003,95872.39272783899,19484063.8289962,41170095.66030404
2020-12-01,2020,12,36192973.078507,36192973.6469952,0.5684882,52638865.96761978,16777823.202860802,18654945.502339,-1877122.2994782005,93670190.9174588,46788984.80266001,25820244.99277999,95820.79557100049,20965140.326447804,46881206.11479879
2021-01-01,2021,1,34051392.5575544,34058894.7716836,7502.214129200001,53526233.4938647,14805908.439181399,16867902.9307894,-2061994.4916080008,90995496.56209496,45786663.29786,24256153.27018,95823.22794875668,20856856.766106196,45208833.26423495
2021-02-01,2021,2,32721316.898617208,32721318.050685607,1.1520684,51866818.58382486,15969928.8871204,16925139.2692982,-955210.3821777999,89433871.52439404,44336709.5185,23665702.28793,95898.783844422,21335560.9341196,45097162.00589402
